Location,Date,Description,Title,Type
Bologna (Italy),10-14-2020,Presentation to the Vittorio Di Federico research group,Emergence of branching structures via Optimal Transport and P-Laplacians,Invited Research Seminary
Egmood aan Zee (Netherland),10-02-2019,European Numerical Mathematics and Advanced Applications Conference 2019,Optimal Transport Tools on Surface,Contributed Talk
Cortona (Italy),06-26-2019,People in Optimal Transportation and Applications - Incontri Indam 2019,A nature inspired optimization tool,Contributed Talk
"Houston - Texas, USA",04-14-2019,SIAM Conference on Mathematical Computational Issues in the Geosciences,Plant Root Modeling via Optimal Transport,Contributed Talk
"Houston - Texas, USA",04-12-2019,SIAM Conference on Mathematical Computational Issues in the Geosciences,Numerical Solution of $L^1$-Optimal Transport Problem,Contributed Talk
"Pisa, Italy",11-15-2018,Optimal Transportation and Applications,Biologically inspired deduction of Optimal Transport Problems,Invited Presentation
"Bergen, Norway",09-06-2018,Presentation to porous media research group,Biologically inspired formulation of Optimal Transportation Problems,Research Seminar
"Roma, Italy",07-06-2018,SIMAI 2018,Biologically inspired formulation of Optimal Transportation Problems,Contributed Talk
"Saint Malom, France",06-04-2018,Computational Methods in Water Resources XXIII,Plant root dynamics via Optimal Transport,Contributed Talk
"Bonn, Germany",04-05-2018,"Terrestrial Systems Research: Monitoring, Prediction and High Performance Computing",Hydrological networks as optimal transport structures,Contributed Talk
"Erlangen, Germany",09-11-2017,SIAM Conference on Mathematical and Computational Issues in the Geo-sciences,Biologically inspired formulation of Optimal Transportation Problems,Contributed Talk
"Lausanne, Swizerland",04-27-2017,Presentation to the Fabio Nobile research group,Biologically inspired formulation of Optimal Transportation Problems,Research Seminar
"Bressanone, Italy",12-18-2014,Current Problems in fluid-dynamics and non equilibrium thermodynamics,Biologically inspired formulation of Optimal Transportation Problem,Contributed Talk
